location_id,location_name,centreline_id,direction,date,year,month,day_of_week,is_weekend,observed_hour_count,daily_total_volume,peak_hour_volume,peak_ratio,avg_observed_hourly_volume,peak_hour_concentration,traffic_demand_intensity,throughput_proxy,queue_pressure_proxy,delay_pressure_proxy
10223667_EB,King St W: Spadina Ave - Brant St,10223667,EB,2015-11-09,2015,11,0,0,24,8515,535,0.0628302994715208,354.7916666666667,1.5079271873165,0.9890811940991985,8515,180.20833333333331,0.5079271873165001
10223667_EB,King St W: Spadina Ave - Brant St,10223667,EB,2015-11-10,2015,11,1,0,24,8609,522,0.0606342200023231,358.7083333333333,1.4552212800557556,1.0,8609,163.29166666666669,0.4552212800557556
10223667_EB,King St W: Spadina Ave - Brant St,10223667,EB,2015-11-11,2015,11,2,0,24,8547,527,0.0616590616590616,356.125,1.47981747981748,0.9927982344058544,8547,170.875,0.4798174798174799
10223667_EB,King St W: Spadina Ave - Brant St,10223667,EB,2015-11-12,2015,11,3,0,24,8799,534,0.0606887146266621,366.625,1.456529151039891,1.022069926820769,8799,167.375,0.456529151039891
10223667_WB,King St W: Spadina Ave - Brant St,10223667,WB,2015-11-06,2015,11,4,0,24,11973,758,0.063309112169047,498.875,1.5194186920571284,1.0777747772076696,11973,259.125,0.5194186920571284
10223667_WB,King St W: Spadina Ave - Brant St,10223667,WB,2015-11-07,2015,11,5,1,24,10357,615,0.0593801293810949,431.5416666666667,1.4251231051462778,0.9323071383562876,10357,183.45833333333331,0.4251231051462778
10223667_WB,King St W: Spadina Ave - Brant St,10223667,WB,2015-11-08,2015,11,6,1,24,7921,446,0.0563060219669233,330.0416666666667,1.3513445272061608,0.7130254748402196,7921,115.95833333333331,0.35134452720616083
10223667_WB,King St W: Spadina Ave - Brant St,10223667,WB,2015-11-09,2015,11,0,0,24,11109,752,0.0676928616437123,462.875,1.6246286794490954,1.0,11109,289.125,0.6246286794490954
10223667_WB,King St W: Spadina Ave - Brant St,10223667,WB,2015-11-10,2015,11,1,0,24,11148,813,0.0729278794402583,464.5,1.7502691065662002,1.003510667026735,11148,348.5,0.7502691065662002
10223667_WB,King St W: Spadina Ave - Brant St,10223667,WB,2015-11-11,2015,11,2,0,24,11099,806,0.0726191548788179,462.4583333333333,1.74285971709163,0.9990998289675038,11099,343.5416666666667,0.74285971709163
10223667_WB,King St W: Spadina Ave - Brant St,10223667,WB,2015-11-12,2015,11,3,0,24,11280,814,0.0721631205673758,470.0,1.7319148936170212,1.0153929246556845,11280,344.0,0.7319148936170212
10250012_EB,Bloor St W: Jane St - Riverview Gdns,10250012,EB,2019-09-30,2019,9,0,0,24,15782,1313,0.0831960461285008,657.5833333333334,1.9967051070840196,0.9718578730217378,15782,655.4166666666666,0.9967051070840196
10250012_EB,Bloor St W: Jane St - Riverview Gdns,10250012,EB,2019-10-01,2019,10,1,0,24,16239,1310,0.0806699919945809,676.625,1.9360798078699428,1.0,16239,633.375,0.9360798078699428
10250012_EB,Bloor St W: Jane St - Riverview Gdns,10250012,EB,2019-10-02,2019,10,2,0,24,16493,1192,0.072273085551446,687.2083333333334,1.7345540532347055,1.0156413572264302,16493,504.79166666666663,0.7345540532347055
10250012_EB,Bloor St W: Jane St - Riverview Gdns,10250012,EB,2019-10-03,2019,10,3,0,24,16488,1229,0.0745390587093643,687.0,1.7889374090247452,1.0153334564936265,16488,542.0,0.7889374090247452
10250012_EB,Bloor St W: Jane St - Riverview Gdns,10250012,EB,2019-10-04,2019,10,4,0,24,17042,1183,0.0694167351249853,710.0833333333334,1.6660016429996478,1.0494488576882812,17042,472.91666666666663,0.6660016429996478
10250012_EB,Bloor St W: Jane St - Riverview Gdns,10250012,EB,2019-10-05,2019,10,5,1,24,15277,1071,0.0701053871833475,636.5416666666666,1.6825292924003405,0.9407598990085596,15277,434.45833333333337,0.6825292924003405
