date,daily_total_volume,peak_hour_volume,peak_ratio,congestion_target,year,month,quarter,day_of_week,is_weekend,week_of_year,lag_1,lag_7,lag_14,roll_7_mean,roll_14_mean,roll_7_std
2016-06-14,1520358,143592,0.09444617649264186,1520358,2016,6,2,1,0,24,455249.0,570091.0,161050.0,559593.8571428572,362589.28571428574,56114.98572998139
2016-06-15,1541100,141462,0.09179287521899941,1541100,2016,6,2,2,0,24,1520358.0,590223.0,166936.0,695346.2857142857,459682.71428571426,368069.25183798146
2016-06-16,1535548,143134,0.09321362796864702,1535548,2016,6,2,3,0,24,1541100.0,597628.0,165871.0,831185.8571428572,557837.2857142857,480959.38164583396
2016-07-04,23586,1998,0.08471126939709997,23586,2016,7,3,0,0,27,1535548.0,589309.0,168953.0,965174.4285714285,655671.3571428572,532891.1326437005
2016-07-05,23300,1987,0.08527896995708155,23300,2016,7,3,1,0,27,23586.0,605377.0,174896.0,884356.8571428572,645288.0,632907.4899442069
2016-07-06,23312,1976,0.08476321207961565,23312,2016,7,3,2,0,27,23300.0,509280.0,175380.0,801203.0,634459.7142857143,709297.6041834156
2016-07-07,22615,1891,0.0836170683174884,22615,2016,7,3,3,0,27,23312.0,455249.0,146007.0,731779.0,623597.7142857143,764283.5507107293
2016-07-08,23823,2057,0.08634512865718004,23823,2016,7,3,4,0,27,22615.0,1520358.0,570091.0,669974.1428571428,614784.0,806688.9043855813
2016-07-09,19196,1636,0.08522608876849344,19196,2016,7,3,5,1,27,23823.0,1541100.0,590223.0,456183.4285714286,575764.8571428572,739244.5737683518
2016-07-10,16152,1484,0.09187716691431402,16152,2016,7,3,6,1,27,19196.0,1535548.0,597628.0,238768.57142857142,534977.2142857143,571828.1711755306
2016-10-11,15520,2423,0.15612113402061856,15520,2016,10,4,1,0,41,16152.0,23586.0,589309.0,21712.0,493443.21428571426,2918.595723853291
2016-10-12,14976,2296,0.15331196581196582,14976,2016,10,4,2,0,41,15520.0,23300.0,605377.0,20559.714285714286,452458.28571428574,3574.069982161624
2016-10-13,15684,2332,0.1486865595511349,15684,2016,10,4,3,0,41,14976.0,23312.0,509280.0,19370.571428571428,410286.78571428574,3881.8838148086434
2017-04-22,248521,16777,0.06750737362234982,248521,2017,4,2,5,1,16,15684.0,22615.0,455249.0,18280.85714285714,375029.9285714286,3655.0818698740154
2017-04-23,192201,14140,0.07356881597910521,192201,2017,4,2,6,1,16,248521.0,23823.0,1520358.0,50553.142857142855,360263.64285714284,87351.20048102095
2017-04-24,202994,18159,0.08945584598559564,202994,2017,4,2,0,0,17,192201.0,19196.0,1541100.0,74607.14285714286,265395.28571428574,100896.68299540643
2017-04-25,242867,22491,0.09260624127608938,242867,2017,4,2,1,0,17,202994.0,16152.0,1535548.0,100864.0,169816.2857142857,107755.64667493163
2017-04-26,239818,22089,0.09210734807228815,239818,2017,4,2,2,0,17,242867.0,15520.0,23586.0,133251.85714285713,77481.92857142857,112036.89301211869
2017-04-27,225841,20511,0.090820533029875,225841,2017,4,2,3,0,17,239818.0,14976.0,23300.0,165294.42857142858,92927.07142857143,104580.16088604864
2017-04-28,215627,17435,0.08085722103447156,215627,2017,4,2,4,0,17,225841.0,15684.0,23312.0,195418.0,107394.28571428571,81996.25068663892
2017-04-29,220683,15484,0.07016399088285007,220683,2017,4,2,5,1,17,215627.0,248521.0,22615.0,223981.2857142857,121131.07142857143,21343.90876973861
2017-04-30,167300,12761,0.07627615062761506,167300,2017,4,2,6,1,17,220683.0,192201.0,23823.0,220004.42857142858,135278.7857142857,18399.945705133836
2017-05-09,66329,5585,0.08420148049872604,66329,2017,5,2,1,0,19,167300.0,202994.0,19196.0,216447.14285714287,145527.14285714287,25649.867416337245
2017-05-10,67879,5793,0.08534303687443834,67879,2017,5,2,2,0,19,66329.0,242867.0,16152.0,196923.57142857142,148893.7857142857,62761.1544716835
